WORD,POS_TAG,COUNT
깊,VA,3017
구멍,NNG,1435
늘,MAG,2922
이,IC,765
일반,NNG,3815
치과,NNG,3696
형아,NNG,4306
달콤하,VA,2743
점점,MAG,3576
아름답,VA,3806
끊,VV,2702
경험,NNG,4053
섞,VV,3976
든,EC,2294
그대로,MAG,3260
즐겁,VA,2286
고생하,VV,4942
야채,NNG,1189
세우,VV,2759
온라인,NNG,4380
친하,VA,2388
막,VV,2086
아쉽,VA,3029
침대,NNG,1948
주차,NNG,4462
특별하,VA,3930
가슴,NNG,3520
당장,NNG,4942
무조건,NNG,5905
을지,EF,2245
부럽,VA,3817
세대,NNG,2337
던지,VV,1408
마리,NNB,1519
피,VV,255
놀이터,NNG,32
땅,NNG,1667
계획,NNG,2716
이,NP,4073
막히,VV,2703
아깝,VA,4036
만,NR,2930
덜,MAG,3178
어라,EF,2644
씨,NNB,1374
선배,NNG,5390
아끼,VV,2174
작년,NNG,1584
배고프,VA,1207
마지막,NNG,2767
아저씨,NNG,815
라고,JKQ,2183
수박,NNG,392
만두,NNG,1280
위험하,VA,2178
프로그램,NNG,3107
짜장면,NNG,3631
무겁,VA,1169
하얗,VA,905
닭,NNG,1089
자,IC,2042
에다가,JKB,1193
팔,NNG,1609
재료,NNG,4502
피하,VV,3621
지나가,VV,1538
생선,NNG,2162
이야기하,VV,3772
난리,NNG,4312
째,XSN,3189
달리기,NNG,1399
식구,NNG,1009
답답하,VA,2992
귀찮,VA,2880
은행,NNG,2307
개인,NNG,2906
확인하,VV,4563
어제,NNG,2772
야,JKV,1466
주식,NNG,3388
개,NNG,1846
먹자,NNG,998
날,VV,765
식초,NNG,5052
잃어버리,VV,741
통장,NNG,4236
때리,VV,1084
개월,NNB,2342
풍선,NNG,105
대학,NNG,3794
성분,NNG,5354
공기,NNG,1975
이미,MAG,3755
기차,NNG,748
유치원,NNG,78
당근,NNG,2441
정신,NNG,2908
근육,NNG,4226
모임,NNG,2022
열,NNG,1669
전혀,MAG,2845
햄버거,NNG,924
방송,NNG,2533
영향,NNG,4279
